"Position / 
Position","Length / 
Longueur","Start / 
Début","Start / 
Fin","Variable / 
Variable","Variable Name - English / 
Nom de Variable - Anglais","Variable Name - French / 
Nom de Variable - Francais",Note 1 - English,Note 1 - French,Note 2 - English,Note 2 - French,"Code / 
Code","Label - English /
Étiquette - Anglais","Label - French /
Étiquette - Francais",,
1,7,1976,,rec_num,Order of record in file,Ordre de l'observation dans le fichier,,,,,,,,,
,,,,,,,,,,,1-9999999,,,,
8,4,1976,,survyear,Survey year,Année d'enquête,,,,,,,,,
,,,,,,,,,,,1976-,,,,
12,2,1976,,survmnth,Survey month,Mois d'enquête,,,,, ,,,,
,,,,,,,,,,,1,January,Janvier,,
,,,,,,,,,,,2,February,Février,,
,,,,,,,,,,,3,March,Mars,,
,,,,,,,,,,,4,April,Avril,,
,,,,,,,,,,,5,May,Mai,,
,,,,,,,,,,,6,June,Juin,,
,,,,,,,,,,,7,July,Juillet,,
,,,,,,,,,,,8,August,Août,,
,,,,,,,,,,,9,September,Septembre,,
,,,,,,,,,,,10,October,Octobre,,
,,,,,,,,,,,11,November,Novembre,,
,,,,,,,,,,,12,December,Décembre,,
14,1,2017,, lfsstat    ,Labour force status,Situation d'activité,,,,,,,,,
,,,,,,,,,,,1,"Employed, at work","Personnes occupées, au travail",,
,,,,,,,,,,,2,"Employed, absent from work","Personnes occupées, absentes du travail",,
,,,,,,,,,,,3,Unemployed,Chômeurs,,
,,,,,,,,,,,4,Not in labour force,Inactifs,,
15,2,1976,,prov,Province,Province,,,,,,,,,
,,,,,,,,,,,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,,
,,,,,,,,,,,11,Prince Edward Island,Île-du-Prince-Édouard,,
,,,,,,,,,,,12,Nova Scotia,Nouvelle-Écosse,,
,,,,,,,,,,,13,New Brunswick,Nouveau-Brunswick,,
,,,,,,,,,,,24,Quebec,Québec,,
,,,,,,,,,,,35,Ontario,Ontario,,
,,,,,,,,,,,46,Manitoba,Manitoba,,
,,,,,,,,,,,47,Saskatchewan,Saskatchewan,,
,,,,,,,,,,,48,Alberta,Alberta,,
,,,,,,,,,,,59,British Columbia,Colombie-Britannique,,
17,1,2017,,cma,Nine largest CMAs,Neuf plus grandes RMR,,,,,,,,,
,,,,,,,,,,,1,Québec,Québec,,
,,,,,,,,,,,2,Montréal,Montréal,,
,,,,,,,,,,,3,Ottawa–Gatineau (Ontario part),Ottawa–Gatineau (partie de l’Ontario),,
,,,,,,,,,,,4,Toronto,Toronto,,
,,,,,,,,,,,5,Hamilton,Hamilton,,
,,,,,,,,,,,6,Winnipeg,Winnipeg,,
,,,,,,,,,,,7,Calgary,Calgary,,
,,,,,,,,,,,8,Edmonton,Edmonton,,
,,,,,,,,,,,9,Vancouver,Vancouver,,
,,,,,,,,,,,0,Other CMA or non-CMA,Autres RMR ou non-RMR,,
18,2,1976,,age_12,Five-year age group of respondent,L'âge du répondant (groupes de 5 ans),,,,,,,,,
,,,,,,,,,,,01,15 to 19 years,15 à 19 ans,,
,,,,,,,,,,,02,20 to 24 years,20 à 24 ans,,
,,,,,,,,,,,03,25 to 29 years,25 à 29 ans,,
,,,,,,,,,,,04,30 to 34 years,30 à 34 ans,,
,,,,,,,,,,,05,35 to 39 years,35 à 39 ans,,
,,,,,,,,,,,06,40 to 44 years,40 à 44 ans,,
,,,,,,,,,,,07,45 to 49 years,45 à 49 ans,,
,,,,,,,,,,,08,50 to 54 years,50 à 54 ans,,
,,,,,,,,,,,09,55 to 59 years,55 à 59 ans,,
,,,,,,,,,,,10,60 to 64 years,60 à 64 ans,,
,,,,,,,,,,,11,65 to 69 years,65 à 69 ans,,
,,,,,,,,,,,12,70 and over,70 et plus,,
20,1,1976,,age_6    ,"Age in 2 and 3 year groups, 15 to 29",L'âge des personnes de 15 à 29 ans (groupes de 2 et 3 ans),,,,,,,,,
,,,,,,,,,,,1,15 to 16 years,15 à 16 ans,,
,,,,,,,,,,,2,17 to 19 years,17 à 19 ans,,
,,,,,,,,,,,3,20 to 21 years,20 à 21 ans,,
,,,,,,,,,,,4,22 to 24 years,22 à 24 ans,,
,,,,,,,,,,,5,25 to 26 years,25 à 26 ans,,
,,,,,,,,,,,6,27 to 29 years,27 à 29 ans,,
,,,,,,,,,,,blank,Not applicable,Indisponible,,
21,1,1976,,sex,Sex of respondent,Sexe du répondant,,,,,,,,,
,,,,,,,,,,,1,Male,Hommes,,
,,,,,,,,,,,2,Female,Femmes,,
22,1,Nov. 1999, ,marstat,Marital status of respondent,État matrimonial du répondant,,,,,,,,,
,,,,,,,,,,,1,Married,Marié(e)s,,
,,,,,,,,,,,2,Living in common-law,Vivant en union libre,,
,,,,,,,,,,,3,Widowed,Veuf(ve)s,,
,,,,,,,,,,,4,Separated,Séparé(e)s,,
,,,,,,,,,,,5,Divorced,Divorcé(e)s,,
,,,,,,,,,,,6,"Single, never married","Célibataires, n'ont jamais marié(e)s",,
24,1,1990,,educ,Highest educational attainment,Plus haut niveau de scolarité atteint,,,,,,,,,
,,,,,,,,,,,0,0 to 8 years,0 à 8 années,,
,,,,,,,,,,,1,Some high school,Études secondaires partielles,,
,,,,,,,,,,,2,High school graduate,Études secondaires complétées,,
,,,,,,,,,,,3,Some postsecondary,Études postsecondaires partielles,,
,,,,,,,,,,,4,Postsecondary certificate or diploma,Diplôme ou certificat d'études postsecondaires,,
,,,,,,,,,,,5,Bachelor's degree,Baccalauréat,,
,,,,,,,,,,,6,Above bachelor's degree,Diplôme ou certificat universitaire supérieur au baccalauréat,,
25,1,1976,,mjh,Single or multiple jobholder,Personnes ayant un emploi ou plus d'un emploi,,,,,,,,,
,,,,,,,,,,,1,"Single jobholder, including job changers","Personnes ayant un emploi, incluant ceux ayant changé d'emploi",,
,,,,,,,,,,,2,Multiple jobholder,Personnes ayant plus d'un emploi,,
,,,,,,,,,,,blank,Not applicable,Indisponible,,
26,1,1976,,everwork,"Not currently employed, worked in the past","Ne travaillent pas présentement, ont déjà travaillé",,,,,,,,,
,,,,,,,,,,,1,"Yes, within last year","Oui, au cours de la dernière année",,
,,,,,,,,,,,2,"Yes, more than 1 year ago","Oui, il y a plus d'un an",,
,,,,,,,,,,,3,"No, never worked","Non, n'ont jamais travaillé",,
,,,,,,,,,,,blank,Not applicable,Indisponible,,
27,1,1976,,ftptlast,Full- or part-time status of last job,"Situation du dernier emploi, temps plein ou temps partiel",,,,,,,,,
,,,,,,,,,,,1,Full-time (30 hours or more),Temps plein (30 heures ou plius),,
,,,,,,,,,,,2,Part-time (1 to 29 hours),Temps partiel (1à 29 heures),,
,,,,,,,,,,,blank,Not applicable,Indisponible,,
28,1,1976,,cowmain,"Class of worker, main job","Catégorie de travailleur, emploi principal",Currently employed or worked within the past 12 months,Présentement occupé ou travaillé au cours des 12 derniers mois,,,,,,,
,,,,,,,,,,,1,Public sector employees,Employés du secteur public,,
,,,,,,,,,,,2,Private sector employees,Employés du secteur privé,,
,,,,,,,,,,,3,"Self-employed incorporated, with paid help","Entreprise constituée en société, avec aide rémunérée",,
,,,,,,,,,,,4,"Self-employed incorporated, no paid help","Entreprise constituée en société, sans aide rémunérée",,
,,,,,,,,,,,5,"Self-employed unincorporated, with paid help","Entreprise non constituée en société, avec aide rémunérée",,
,,,,,,,,,,,6,"Self-employed unincorporated, no paid help","Entreprise non constituée en société, sans aide rémunérée",,
,,,,,,,,,,,7,Unpaid family worker,Travailleurs familiaux non rémunérés,,
,,,,,,,,,,,blank,Not applicable,Indisponible,,
29,1,2017,,immig,Immigrant status,Statut d'immigrant,,,,,,,,,
