id,Occupation at main job
1,Management occupations
2,"Business, finance and administration occupations"
3,Natural and applied sciences and related occupations
4,Health occupations
5,"Occupations in education, law and social, community and government services"
6,"Occupations in art, culture, recreation and sport"
7,Sales and service occupations
8,"Trades, transport and equipment operators and related occupations"
9,"Natural resources, agriculture and related production occupations"
10,Occupations in manufacturing and utilities
