id,Reason for leaving job during previous year 
0,"Job leavers, other reasons"
1,"Job leavers, own illness or disability"
2,"Job leavers, caring for children"
3,"Job leavers, pregnancy"
4,"Job leavers, personal or family responsibilities"
5,"Job leavers, going to school"
6,"Job leavers, dissatisfied"
7,"Job leavers, retired"
8,"Job leavers, business sold or closed down (self-employed)"
9,"Job losers, end of seasonal job (employee)"
10,"Job losers, end of temporary or casual (employee)"
11,"Job losers, company moved or out of business (employee)"
12,"Job losers, business conditions (employee)"
13,"Job losers, dismissal or other reasons"
